iter	Passed	Remaining
0	11	11040
1	25	12569
2	38	12892
3	51	12826
4	63	12709
5	78	13029
6	90	12866
7	105	13052
8	117	12905
9	130	12964
10	145	13064
11	158	13010
12	170	12953
13	181	12815
14	194	12760
15	208	12809
16	221	12796
17	233	12730
18	246	12746
19	259	12706
20	275	12829
21	286	12747
22	298	12695
23	313	12738
24	327	12782
25	342	12849
26	353	12747
27	365	12683
28	380	12727
29	391	12653
30	405	12682
31	419	12675
32	432	12660
33	447	12707
34	460	12705
35	475	12726
36	488	12709
37	499	12636
38	515	12700
39	530	12724
40	545	12757
41	554	12649
42	565	12579
43	581	12632
44	593	12600
45	606	12577
46	619	12568
47	631	12532
48	646	12548
49	658	12519
50	669	12458
51	683	12456
52	693	12382
53	704	12348
54	720	12372
55	733	12371
56	748	12375
57	760	12351
58	773	12340
59	787	12334
60	798	12298
61	814	12318
62	826	12294
63	838	12266
64	852	12256
65	862	12211
66	875	12190
67	887	12167
68	901	12163
69	914	12149
70	928	12144
71	941	12128
72	954	12116
73	965	12076
74	977	12059
75	990	12045
76	1001	12004
77	1015	12007
78	1029	11996
79	1041	11975
80	1055	11976
81	1067	11947
82	1081	11945
83	1093	11919
84	1104	11886
85	1119	11902
86	1133	11894
87	1145	11867
88	1158	11859
89	1171	11842
90	1183	11824
91	1197	11815
92	1210	11802
93	1223	11791
94	1235	11768
95	1246	11740
96	1260	11735
97	1274	11734
98	1290	11744
99	1303	11732
100	1315	11709
101	1328	11693
102	1340	11672
103	1354	11668
104	1366	11647
105	1378	11623
106	1390	11604
107	1402	11586
108	1415	11570
109	1428	11557
110	1441	11546
111	1453	11525
112	1467	11519
113	1481	11513
114	1492	11487
115	1504	11463
116	1517	11449
117	1531	11445
118	1542	11419
119	1559	11437
120	1572	11422
121	1585	11407
122	1598	11398
123	1610	11375
124	1620	11344
125	1632	11325
126	1644	11303
127	1662	11323
128	1673	11302
129	1685	11277
130	1695	11247
131	1709	11239
132	1726	11256
133	1739	11244
134	1752	11226
135	1766	11220
136	1777	11197
137	1788	11171
138	1802	11162
139	1814	11146
140	1827	11132
141	1839	11114
142	1850	11092
143	1866	11097
144	1880	11086
145	1896	11091
146	1910	11084
147	1921	11062
148	1938	11074
149	1951	11057
150	1966	11057
151	1977	11030
152	1988	11008
153	2003	11006
154	2014	10982
155	2027	10971
156	2041	10963
157	2054	10948
158	2068	10942
159	2079	10918
160	2090	10896
161	2102	10876
162	2115	10865
163	2127	10845
164	2141	10835
165	2152	10812
166	2162	10785
167	2175	10772
168	2187	10757
169	2198	10733
170	2212	10725
171	2223	10701
172	2237	10697
173	2249	10677
174	2263	10668
175	2278	10667
176	2288	10642
177	2305	10644
178	2318	10635
179	2332	10626
180	2346	10618
181	2359	10606
182	2375	10603
183	2385	10578
184	2397	10564
185	2412	10560
186	2427	10551
187	2441	10546
188	2455	10535
189	2466	10513
190	2479	10504
191	2493	10495
192	2508	10490
193	2521	10476
194	2533	10459
195	2545	10443
196	2559	10433
197	2576	10437
198	2591	10430
199	2605	10422
200	2618	10409
201	2629	10389
202	2643	10378
203	2654	10358
204	2666	10340
205	2679	10328
206	2690	10307
207	2706	10306
208	2718	10288
209	2730	10271
210	2745	10266
211	2757	10250
212	2769	10231
213	2781	10216
214	2792	10197
215	2807	10188
216	2820	10178
217	2831	10158
218	2845	10147
219	2856	10126
220	2867	10106
221	2879	10089
222	2892	10079
223	2903	10059
224	2917	10048
225	2930	10036
226	2947	10035
227	2959	10020
228	2971	10005
229	2986	9999
230	3000	9990
231	3014	9978
232	3028	9969
233	3039	9951
234	3056	9948
235	3070	9939
236	3086	9937
237	3099	9924
238	3115	9918
239	3129	9910
240	3142	9896
241	3154	9881
242	3166	9863
243	3179	9851
244	3193	9840
245	3206	9827
246	3223	9826
247	3237	9815
248	3253	9813
249	3267	9802
250	3278	9784
251	3292	9771
252	3306	9761
253	3322	9759
254	3333	9737
255	3350	9736
256	3361	9719
257	3374	9704
258	3389	9696
259	3402	9683
260	3414	9667
261	3428	9657
262	3440	9640
263	3455	9633
264	3466	9613
265	3482	9609
266	3496	9599
267	3510	9587
268	3524	9577
269	3535	9559
270	3545	9538
271	3559	9527
272	3571	9509
273	3584	9497
274	3595	9479
275	3607	9463
276	3621	9451
277	3634	9439
278	3648	9429
279	3662	9418
280	3676	9406
281	3692	9401
282	3705	9387
283	3717	9372
284	3731	9361
285	3743	9344
286	3758	9336
287	3771	9322
288	3783	9308
289	3796	9295
290	3809	9282
291	3825	9275
292	3837	9260
293	3849	9245
294	3864	9235
295	3876	9220
296	3892	9214
297	3904	9197
298	3915	9180
299	3929	9169
300	3943	9157
301	3957	9147
302	3968	9129
303	3982	9117
304	3997	9108
305	4008	9092
306	4024	9085
307	4037	9072
308	4050	9057
309	4062	9041
310	4073	9025
