iter	MultiClass
0	1.072457947
1	1.030234396
2	0.9961946935
3	0.9670519179
4	0.9402705097
5	0.9062641038
6	0.8811577659
7	0.8534634488
8	0.8275680282
9	0.8029365764
10	0.7822512665
11	0.766890671
12	0.7459698065
13	0.7284180491
14	0.7057650868
15	0.6819300292
16	0.6637453079
17	0.6472348967
18	0.6297705451
19	0.6122965042
20	0.5979754239
21	0.584573502
22	0.5742340124
23	0.559200111
24	0.5488624695
25	0.5352369025
26	0.5211920819
27	0.5134519589
28	0.503091591
29	0.4911059012
30	0.4787940004
31	0.4658024537
32	0.4563984386
33	0.4478893878
34	0.4375035694
35	0.4284528286
36	0.4186143758
37	0.4121233341
38	0.403878327
39	0.3952333358
40	0.3863958251
41	0.3780835151
42	0.3692571356
43	0.3614692662
44	0.353374406
45	0.3447019734
46	0.3380177361
47	0.3305021986
48	0.3232998869
49	0.3154787164
50	0.3096323871
51	0.3026822262
52	0.2962749776
53	0.2905495342
54	0.2850179699
55	0.2803140257
56	0.2757081417
57	0.2696535428
58	0.2655672426
59	0.260070382
60	0.2544574581
61	0.2499065378
62	0.2465670808
63	0.2413268194
64	0.2364250677
65	0.2320088418
66	0.2274122609
67	0.2236590174
68	0.2207449811
69	0.2165078095
70	0.2149125131
71	0.2113212873
72	0.2080986553
73	0.2041346837
74	0.201040434
75	0.1977125424
76	0.194661108
77	0.1913605214
78	0.1879956905
79	0.1842617841
80	0.1818821568
81	0.1787738569
82	0.176199629
83	0.1734328035
84	0.1704333377
85	0.1687172295
86	0.1658717086
87	0.1633496588
88	0.1608104994
89	0.1577272789
90	0.1555240851
91	0.1533368817
92	0.1518075543
93	0.149815746
94	0.1478822006
95	0.1453905042
96	0.1431006319
97	0.1412072077
98	0.1396717189
99	0.137641301
100	0.1354548688
101	0.133330821
102	0.131321754
103	0.1293404144
104	0.1278215757
105	0.1262715737
