iter	Passed	Remaining
0	258	258353
1	407	203458
2	579	192602
3	742	184789
4	901	179464
5	1063	176114
6	1261	178928
7	1473	182667
8	1696	186787
9	1876	185748
10	2046	183987
11	2207	181738
12	2372	180106
13	2537	178747
14	2692	176838
15	2832	174175
16	3013	174268
17	3176	173291
18	3398	175450
19	3603	176587
20	3810	177638
21	3990	177402
22	4148	176230
23	4291	174528
24	4428	172714
25	4566	171053
26	4699	169364
27	4853	168469
28	5020	168103
29	5210	168485
30	5380	168177
31	5561	168228
32	5702	167098
33	5837	165864
34	6009	165702
35	6181	165517
36	6378	166015
37	6619	167576
38	6851	168830
39	7118	170845
40	7382	172673
41	7650	174510
42	7861	174969
43	8133	176719
44	8408	178453
45	8668	179781
46	8925	180987
47	9202	182511
48	9471	183821
49	9760	185443
50	10023	186520
51	10301	187797
52	10597	189361
53	10862	190289
54	11147	191537
55	11421	192530
56	11669	193051
57	11969	194398
58	12235	195142
59	12509	195976
60	12816	197282
61	13040	197290
62	13315	198042
63	13601	198923
64	13843	199135
65	14076	199207
66	14315	199346767	14586	199926868	14858	200486969	15150	201277070	15439	202013
71	15695	202297272	15942	202447373	16249	203343
74	16512	203649
75	16800	204262
76	17060	204502
77	17329	204842
78	17595	205129
79	17895	205796
80	18169	206144
81	18431	206340
82	18701	206620
83	18957	206722
84	19229	207000
85	19508	207335
86	19776	207535
87	20056	207857
88	20312	207915
89	20562	207912
90	20836	208134
91	21111	208356
92	21382	208538
93	21660	208767
94	21895	208581
95	22167	208746
96	22457	209067
97	22730	209214
98	23030	209596
99	23289	209602
100	23559	209704
101	23823	209742
102	24085	209754
103	24361	209880
104	24585	209560
105	24818	209320
106	25111	209572
107	25373	209570
108	25629	209502
109	25884	209425
110	26134	209311
111	26415	209436
112	26701	209591
113	26958	209517
114	27215	209443
115	27479	209411
116	27715	209168
117	28001	209295
118	28271	209307
119	28522	209167
120	28797	209199
121	29071	209221
122	29383	209503
123	29617	209235
124	29871	209102
125	30174	209304
126	30431	209186
127	30689	209073
128	30964	209070
129	31239	209063
130	31484	208853
131	31738	208702
132	32032	208813
133	32283	208639
134	32572	208707
135	32820	208505
136	33053	208214
137	33317	208115
138	33588	208053
139	33851	207947
140	34132	207943
141	34436	208071
142	34692	207912
143	34958	207810
144	35267	207956
145	35527	207811
146	35818	207843
147	36076	207681
148	36344	207579
149	36618	207503
150	36908	207519
151	37165	207342
152	37454	207345
153	37722	207226
154	37981	207058
155	38223	206797
156	38479	206611
157	38731	206406
158	39005	206313
159	39314	206399
160	39574	206230
161	39826	206016
162	40119	206013
163	40371	205793
164	40647	205701
165	40903	205501
