,adaboostclassifier,catboostclassifier,decisiontreeclassifier,extratreesclassifier,gaussiannb,gradientboostingclassifier,kneighborsclassifier,lgbmclassifier,lineardiscriminantanalysis,logisticregression,mlpclassifier,quadraticdiscriminantanalysis,randomforestclassifier,xgbclassifier,votingclassifer,stacking_model
fit_time_1fold,0.050470113754272,0.429978132247924,0.010436296463012001,0.08110618591308501,0.010915279388427,0.7984354496002191,0.009873867034912,0.018934488296508,0.011368036270141001,0.05778622627258301,0.36937832832336404,0.008584022521972,0.42375755310058505,0.023492097854614,2.075826644897461,14.938953399658203
fit_time_2fold,0.049742221832275,0.43124270439147905,0.010151624679565001,0.079307556152343,0.010324954986572,0.830246686935424,0.013389348983764001,0.018986463546752,0.010705709457397001,0.062171697616577,0.37512660026550204,0.008484363555908,0.39958763122558505,0.026150703430175,2.106941699981689,14.992138624191284
score_time_1fold,0.021421194076538003,0.031728267669677006,0.011306762695312,0.025222539901733003,0.019235134124755002,0.014322996139526001,0.016569614410400002,0.010027170181274001,0.011851072311401001,0.010307312011718,0.011361122131347,0.010632276535034001,0.07121634483337401,0.013268947601318,0.151061058044433,0.319728136062622
score_time_2fold,0.021267175674438,0.039576292037963,0.011348485946655001,0.021491527557373002,0.012569427490234,0.013978004455566,0.019183635711669002,0.010273933410644,0.011496305465698001,0.010655641555786001,0.011348247528076,0.010827779769897001,0.066330194473266,0.014621019363403001,0.15480756759643502,0.29020357131958
test_balanced_accuracy_1fold,0.9570707070707071,0.9431818181818181,0.9280303030303031,0.9431818181818181,0.914141414141414,0.941919191919191,0.8971234079929731,0.33333333333333304,0.971618357487922,0.9406565656565651,0.92550505050505,0.9116161616161611,0.9431818181818181,0.9558080808080801,0.941919191919191,0.9431818181818181
test_balanced_accuracy_2fold,0.9430303030303031,0.973333333333333,0.9242424242424241,0.9430303030303031,0.973333333333333,0.9430303030303031,0.8957575757575751,0.33333333333333304,0.9715151515151511,0.958181818181818,0.958181818181818,0.912727272727272,0.973333333333333,0.9430303030303031,0.958181818181818,0.958181818181818
train_balanced_accuracy_1fold,0.9430303030303031,0.973333333333333,0.973333333333333,0.973333333333333,0.9466666666666661,0.986666666666666,0.884242424242424,0.33333333333333304,0.973333333333333,0.973333333333333,0.973333333333333,0.8957575757575751,0.973333333333333,0.986666666666666,0.973333333333333,0.973333333333333
train_balanced_accuracy_2fold,0.9570707070707071,0.970959595959596,0.954545454545454,0.9558080808080801,0.9292929292929291,0.9558080808080801,0.8680830039525691,0.33333333333333304,0.9696969696969691,0.9406565656565651,0.9406565656565651,0.9406565656565651,0.9431818181818181,0.9848484848484841,0.9558080808080801,0.9570707070707071
test_roc_auc_ovr_1fold,0.9977914487666261,0.994629510232347,0.974987385417542,0.9962139121713581,0.9853186116483991,0.9955828975332521,0.958860393339337,0.5,0.9768378096931901,0.9723259432509451,0.9816062505131931,0.9571028664691941,0.9968449268094651,0.9968449268094651,0.994307137569549,0.9958915395085601
test_roc_auc_ovr_2fold,0.9943713733075431,0.9956221792392,0.9965699548678271,0.9968729851708571,0.9950612508059311,0.9949967762733711,0.9873662153449381,0.5,0.9968729851708571,0.9974983881366861,0.9974983881366861,0.9950741457124431,0.9943713733075431,0.9949967762733711,0.9968729851708571,0.998123791102514
train_roc_auc_ovr_1fold,0.9849903288201161,0.9974983881366861,0.988536428110896,0.9949967762733711,0.9936686009026431,0.9959252095422301,0.977662798194713,0.5,0.9968729851708571,0.9968729851708571,0.9968729851708571,0.9918697614442291,0.9959252095422301,0.9971760154738871,0.9956221792392,0.9962475822050291
train_roc_auc_ovr_2fold,0.9908502877474501,0.9974759414475721,0.9776847223796501,0.9974759414475721,0.992990185543377,0.9974759414475721,0.9681621125518681,0.5,0.9981069560856791,0.9817966857932531,0.9929700369698221,0.9708478816326481,0.9974759414475721,0.9981069560856791,0.9971535687847741,0.9968449268094651
test_f1_micro_1fold,0.956521739130434,0.9420289855072461,0.9275362318840581,0.9420289855072461,0.9130434782608691,0.9420289855072461,0.898550724637681,0.347826086956521,0.9710144927536231,0.9420289855072461,0.9275362318840581,0.9130434782608691,0.9420289855072461,0.956521739130434,0.9420289855072461,0.9420289855072461
test_f1_micro_2fold,0.9420289855072461,0.9710144927536231,0.9275362318840581,0.9420289855072461,0.9710144927536231,0.9420289855072461,0.898550724637681,0.318840579710144,0.9710144927536231,0.956521739130434,0.956521739130434,0.9130434782608691,0.9710144927536231,0.9420289855072461,0.956521739130434,0.956521739130434
train_f1_micro_1fold,0.9420289855072461,0.9710144927536231,0.9710144927536231,0.9710144927536231,0.9420289855072461,0.9855072463768111,0.884057971014492,0.36231884057971003,0.9710144927536231,0.9710144927536231,0.9710144927536231,0.898550724637681,0.9710144927536231,0.9855072463768111,0.9710144927536231,0.9710144927536231
train_f1_micro_2fold,0.956521739130434,0.9710144927536231,0.956521739130434,0.956521739130434,0.9275362318840581,0.956521739130434,0.8695652173913041,0.33333333333333304,0.9710144927536231,0.9420289855072461,0.9420289855072461,0.9420289855072461,0.9420289855072461,0.9855072463768111,0.956521739130434,0.956521739130434
